Series_reference:Period:Data_value:Suppressed:STATUS:UNITS:Magnitude:Subject:Group:Series_title_1:Series_title_2:Series_title_3:Series_title_4:Series_title_5
WTSQ.SFA1CA:2001.06:2656.11::F:Dollars:6:Wholesale Trade Survey - WTS:Industry by variable - (ANZSIC06) - Subannual Financial Collection:Basic material wholesaling:Sales (operating income):Current prices:Unadjusted:
WTSQ.SFA1CA:2001.09:2654.37::F:Dollars:6:Wholesale Trade Survey - WTS:Industry by variable - (ANZSIC06) - Subannual Financial Collection:Basic material wholesaling:Sales (operating income):Current prices:Unadjusted:
WTSQ.SFA1CA:2001.12:2745.46::F:Dollars:6:Wholesale Trade Survey - WTS:Industry by variable - (ANZSIC06) - Subannual Financial Collection:Basic material wholesaling:Sales (operating income):Current prices:Unadjusted:
WTSQ.SFA1CA:2002.03:2652.62::F:Dollars:6:Wholesale Trade Survey - WTS:Industry by variable - (ANZSIC06) - Subannual Financial Collection:Basic material wholesaling:Sales (operating income):Current prices:Unadjusted:
WTSQ.SFA1CA:2002.06:2682.44::F:Dollars:6:Wholesale Trade Survey - WTS:Industry by variable - (ANZSIC06) - Subannual Financial Collection:Basic material wholesaling:Sales (operating income):Current prices:Unadjusted:
WTSQ.SFA1CA:2002.09:2728.65::F:Dollars:6:Wholesale Trade Survey - WTS:Industry by variable - (ANZSIC06) - Subannual Financial Collection:Basic material wholesaling:Sales (operating income):Current prices:Unadjusted:
WTSQ.SFA1CA:2002.12:2829.27::F:Dollars:6:Wholesale Trade Survey - WTS:Industry by variable - (ANZSIC06) - Subannual Financial Collection:Basic material wholesaling:Sales (operating income):Current prices:Unadjusted:
WTSQ.SFA1CA:2003.03:2544.22::F:Dollars:6:Wholesale Trade Survey - WTS:Industry by variable - (ANZSIC06) - Subannual Financial Collection:Basic material wholesaling:Sales (operating income):Current prices:Unadjusted:
WTSQ.SFA1CA:2003.06:2558.36::F:Dollars:6:Wholesale Trade Survey - WTS:Industry by variable - (ANZSIC06) - Subannual Financial Collection:Basic material wholesaling:Sales (operating income):Current prices:Unadjusted:
WTSQ.SFA1CA:2003.09:2576.08::F:Dollars:6:Wholesale Trade Survey - WTS:Industry by variable - (ANZSIC06) - Subannual Financial Collection:Basic material wholesaling:Sales (operating income):Current prices:Unadjusted:
WTSQ.SFA1CA:2003.12:2812.78::F:Dollars:6:Wholesale Trade Survey - WTS:Industry by variable - (ANZSIC06) - Subannual Financial Collection:Basic material wholesaling:Sales (operating income):Current prices:Unadjusted:
WTSQ.SFA1CA:2004.03:2553.85::F:Dollars:6:Wholesale Trade Survey - WTS:Industry by variable - (ANZSIC06) - Subannual Financial Collection:Basic material wholesaling:Sales (operating income):Current prices:Unadjusted:
WTSQ.SFA1CA:2004.06:2839.01::F:Dollars:6:Wholesale Trade Survey - WTS:Industry by variable - (ANZSIC06) - Subannual Financial Collection:Basic material wholesaling:Sales (operating income):Current prices:Unadjusted:
WTSQ.SFA1CA:2004.09:2944.86::F:Dollars:6:Wholesale Trade Survey - WTS:Industry by variable - (ANZSIC06) - Subannual Financial Collection:Basic material wholesaling:Sales (operating income):Current prices:Unadjusted:
WTSQ.SFA1CA:2004.12:3127.86::F:Dollars:6:Wholesale Trade Survey - WTS:Industry by variable - (ANZSIC06) - Subannual Financial Collection:Basic material wholesaling:Sales (operating income):Current prices:Unadjusted:
WTSQ.SFA1CA:2005.03:2866.78::F:Dollars:6:Wholesale Trade Survey - WTS:Industry by variable - (ANZSIC06) - Subannual Financial Collection:Basic material wholesaling:Sales (operating income):Current prices:Unadjusted:
WTSQ.SFA1CA:2005.06:3136.88::F:Dollars:6:Wholesale Trade Survey - WTS:Industry by variable - (ANZSIC06) - Subannual Financial Collection:Basic material wholesaling:Sales (operating income):Current prices:Unadjusted:
WTSQ.SFA1CA:2005.09:3191.08::F:Dollars:6:Wholesale Trade Survey - WTS:Industry by variable - (ANZSIC06) - Subannual Financial Collection:Basic material wholesaling:Sales (operating income):Current prices:Unadjusted:
WTSQ.SFA1CA:2005.12:3368.75::F:Dollars:6:Wholesale Trade Survey - WTS:Industry by variable - (ANZSIC06) - Subannual Financial Collection:Basic material wholesaling:Sales (operating income):Current prices:Unadjusted:
WTSQ.SFA1CA:2006.03:3159.73::F:Dollars:6:Wholesale Trade Survey - WTS:Industry by variable - (ANZSIC06) - Subannual Financial Collection:Basic material wholesaling:Sales (operating income):Current prices:Unadjusted:
WTSQ.SFA1CA:2006.06:3326.03::F:Dollars:6:Wholesale Trade Survey - WTS:Industry by variable - (ANZSIC06) - Subannual Financial Collection:Basic material wholesaling:Sales (operating income):Current prices:Unadjusted:
WTSQ.SFA1CA:2006.09:3644.39::F:Dollars:6:Wholesale Trade Survey - WTS:Industry by variable - (ANZSIC06) - Subannual Financial Collection:Basic material wholesaling:Sales (operating income):Current prices:Unadjusted:
WTSQ.SFA1CA:2006.12:3726.87::F:Dollars:6:Wholesale Trade Survey - WTS:Industry by variable - (ANZSIC06) - Subannual Financial Collection:Basic material wholesaling:Sales (operating income):Current prices:Unadjusted:
WTSQ.SFA1CA:2007.03:3409.54::F:Dollars:6:Wholesale Trade Survey - WTS:Industry by variable - (ANZSIC06) - Subannual Financial Collection:Basic material wholesaling:Sales (operating income):Current prices:Unadjusted:
